Vehicle_Year,Mileage,Condition_Score,Make,Auction_Location,Sold_Price
1960,111815,7.304093788819221,Toyota,Las Vegas,45338.9689440961
1994,26754,4.616321127415256,Ferrari,Palm Beach,157406.2056370763
1996,81523,1.686722087566716,Porsche,Las Vegas,38281.310437833585
2006,29420,7.594301654837263,Toyota,Palm Beach,78029.50827418632
1973,20908,6.551962803686634,Ford,Palm Beach,57169.01401843317
1962,52489,1.0262054605040987,Ferrari,Palm Beach,120882.1273025205
1960,118681,1.0847787037520078,Ferrari,Scottsdale,113555.79351876004
1964,128027,8.279136758734246,Toyota,Las Vegas,50592.98379367123
1985,34873,3.3345976492166844,Porsche,Palm Beach,45685.688246083424
2014,76496,6.725203009552591,Toyota,Palm Beach,72976.41504776296
2022,107792,5.0879297778872274,Chevy,Palm Beach,65660.44888943614
1973,57605,8.770870130695904,Toyota,Las Vegas,64593.85065347952
1998,85996,9.252650017922397,Chevy,Palm Beach,76663.65008961198
1986,18235,9.971269414109686,Ford,Las Vegas,81032.84707054844
1968,90987,2.3831572222652215,Ferrari,Las Vegas,126817.0861113261
1974,122218,8.766676418279278,Ferrari,Scottsdale,158611.58209139638
1974,47477,3.394192390559216,Porsche,Palm Beach,39223.26195279608
1985,62591,6.31734287405957,Toyota,Palm Beach,57827.61437029785
2001,58383,5.551955504822898,Ford,Las Vegas,62421.47752411448
2019,17023,1.1618931841514888,Chevy,Las Vegas,53607.16592075744
1972,47691,9.394941519154854,Porsche,Scottsdale,68205.60759577427
2010,62361,1.704943496342966,Ford,Palm Beach,47288.617481714835
2022,54436,7.193970274669622,Ford,Las Vegas,81526.25137334812
1991,74183,8.06506152587436,Chevy,Palm Beach,68407.0076293718
1998,61048,8.157590641429158,Chevy,Palm Beach,73683.15320714578
2008,26772,2.219450670359603,Ferrari,Palm Beach,152420.05335179804
2011,4313,5.028129554571749,Toyota,Las Vegas,70209.34777285875
2020,141465,8.46485983390582,Porsche,Palm Beach,78177.7991695291
1991,62607,3.724112893408792,Toyota,Las Vegas,47859.86446704397
1963,57234,5.209738078371972,Porsche,Scottsdale,41825.29039185986
1989,133272,3.455145034298612,Ford,Scottsdale,38448.525171493064
1996,28272,5.171962760967918,Chevy,Las Vegas,61032.613804839595
1982,20232,8.99054130333592,Chevy,Palm Beach,73929.5065166796
1998,18299,5.096118079294925,Ford,Scottsdale,62650.69039647462
2004,36709,6.003208153668883,Ford,Scottsdale,68345.14076834441
1974,139188,4.635786549727752,Porsche,Las Vegas,36260.13274863876
2002,31981,5.14105464882993,Ford,Las Vegas,63507.17324414965
1988,24572,1.1365677914177952,Porsche,Las Vegas,37225.63895708897
1995,54231,3.5537095896441038,Toyota,Las Vegas,49845.44794822052
1972,12928,4.929235495676419,Chevy,Las Vegas,49353.3774783821
1991,96764,6.70417278393456,Chevy,Las Vegas,59344.463919672795
1966,132573,5.050467374985029,Chevy,Las Vegas,34995.03687492514
2018,15293,4.040353389894076,Toyota,Palm Beach,67672.46694947037
2010,102618,4.492888618097415,Toyota,Palm Beach,57202.64309048707
1981,19711,3.180639962804199,Ferrari,Palm Beach,144432.099814021
1987,143122,9.320448544966476,Porsche,Palm Beach,65790.04272483238
1961,76340,5.695689032118231,Porsche,Scottsdale,41344.44516059116
2001,2845,1.1206850848491081,Ferrari,Palm Beach,145818.92542424554
2004,55343,1.1750163257759194,Chevy,Scottsdale,42340.7816288796
2021,3966,9.756654714568374,Porsche,Scottsdale,98886.67357284186
2016,128781,2.993058022359205,Porsche,Scottsdale,50087.19011179603
2012,71454,8.250474599328832,Chevy,Las Vegas,80106.97299664415
1965,51474,1.5244777140451702,Ford,Scottsdale,24974.98857022585
1987,114497,9.290464630250941,Ford,Scottsdale,68502.62315125471
1987,124677,8.869753033000105,Ferrari,Scottsdale,165381.06516500053
2003,81129,6.1398384619106325,Toyota,Las Vegas,64086.292309553166
2003,93674,1.080987915549302,Porsche,Palm Beach,37537.53957774651
1979,30531,3.320297866210038,Porsche,Palm Beach,43048.38933105019
1989,149080,4.661403826586184,Ferrari,Scottsdale,142899.0191329309
2021,29436,5.140577050728056,Ferrari,Scottsdale,173259.2852536403
1970,41092,3.679108827061348,Porsche,Palm Beach,39286.34413530674
2023,55450,1.2965308142097698,Chevy,Palm Beach,52437.65407104885
2017,69661,6.311146653338879,Chevy,Palm Beach,73089.6332666944
2014,52055,5.717392009252803,Toyota,Palm Beach,70381.46004626402
1987,61340,3.5470057188616995,Porsche,Scottsdale,45101.0285943085
1984,137327,1.3417837081264588,Porsche,Scottsdale,24976.218540632293
1998,46707,9.951347684997462,Porsche,Scottsdale,84086.0384249873
2021,52970,5.337875681437653,Porsche,Palm Beach,71892.37840718827
1992,64210,7.804038175966694,Ferrari,Las Vegas,168599.19087983348
1960,116995,5.0708263154620195,Ford,Palm Beach,33654.631577310094
2016,4526,1.388532617766473,Porsche,Palm Beach,54490.063088832365
1986,27706,3.7864067057695006,Ford,Las Vegas,49161.433528847505
2021,28251,3.8809912690531108,Chevy,Las Vegas,67079.85634526555
2016,11408,8.545176136441142,Toyota,Palm Beach,89585.08068220572
2011,90406,6.888069801998869,Chevy,Las Vegas,70899.74900999435
1972,107084,3.4788691327552557,Porsche,Las Vegas,32685.945663776278
2000,2304,9.709659591931775,Chevy,Las Vegas,88317.89795965888
1962,92869,3.8938764915808424,Ferrari,Palm Beach,131182.4824579042
1998,87365,9.984106232458483,Ford,Palm Beach,80184.0311622924
1965,31231,9.965473238532368,Porsche,Las Vegas,69204.26619266185
1967,52528,2.7208946597206762,Ferrari,Scottsdale,131851.6732986034
1986,33970,3.8146700456956015,Ford,Las Vegas,48676.35022847801
1968,103647,5.374397786361888,Ferrari,Las Vegas,140507.28893180942
2021,49167,6.976906040331018,Chevy,Palm Beach,80467.83020165509
1996,112317,5.752427041034194,Porsche,Scottsdale,55530.43520517097
1992,99034,9.724973222190311,Chevy,Las Vegas,74721.46611095156
2010,143080,7.515902478121223,Toyota,Scottsdale,68271.5123906061
2001,74807,2.9084036444467696,Porsche,Palm Beach,47561.31822223385
2003,61315,1.945877951922745,Chevy,Scottsdale,45097.889759613725
1983,49529,7.195611616384211,Porsche,Palm Beach,62525.15808192105
1974,82252,2.426071961626867,Ford,Las Vegas,30905.159808134336
2018,108148,8.089091563021787,Porsche,Palm Beach,78630.65781510893
2013,138831,3.7993300053430326,Porsche,Scottsdale,51613.550026715166
1991,77340,3.942039367500459,Ford,Scottsdale,47476.1968375023
1991,113788,1.0971855315056076,Chevy,Scottsdale,29607.127657528035
1983,46573,7.309101403855366,Porsche,Las Vegas,63388.20701927683
2000,96862,2.0194277775821723,Ferrari,Scottsdale,140410.93888791086
2011,107056,7.955925197171663,Porsche,Scottsdale,74574.02598585832
2008,118552,5.426810397254862,Chevy,Scottsdale,59278.85198627431
2021,126411,8.058518334591122,Ford,Palm Beach,78151.4916729556
2008,7106,6.255338852779672,Chevy,Scottsdale,74566.09426389835
2017,74318,1.741899448170917,Toyota,Palm Beach,49777.697240854584
2011,32530,7.890871030346648,Porsche,Scottsdale,81701.35515173324
1971,23191,1.6281953640527478,Porsche,Palm Beach,31321.876820263737
2021,24089,5.30831548512399,Ford,Palm Beach,74632.67742561994
1998,75551,2.5511429273046695,Porsche,Las Vegas,44200.61463652335
1961,19090,7.771016601800965,Ferrari,Las Vegas,157446.08300900483
1962,90370,9.204321050255139,Ferrari,Palm Beach,157984.6052512757
2008,80460,5.987135470224469,Chevy,Palm Beach,65889.67735112234
1996,36181,5.744325648692625,Ford,Las Vegas,63103.52824346313
2008,142205,7.875668766930561,Toyota,Palm Beach,69157.8438346528
2015,108372,1.045709316781545,Chevy,Las Vegas,41891.346583907725
1976,16341,9.259827783716446,Ford,Las Vegas,72665.03891858223
2018,125032,2.7770393538201854,Ford,Scottsdale,50381.99676910092
2008,6039,9.857069954436135,Chevy,Scottsdale,92681.44977218067
1961,113100,7.626285531644159,Chevy,Las Vegas,47321.4276582208
1961,35163,7.968260329306039,Porsche,Las Vegas,56825.001646530196
1987,47218,6.905826823362459,Toyota,Palm Beach,63307.33411681229
2013,84803,5.244968645066443,Ferrari,Las Vegas,164244.54322533222
1982,128657,6.144649240250489,Porsche,Las Vegas,48857.54620125245
1996,27176,1.417625974136131,Ford,Scottsdale,42370.52987068066
1991,44705,6.615635584888128,Toyota,Las Vegas,64107.67792444064
1992,84665,6.634882917883421,Toyota,Palm Beach,60707.9145894171
1960,39221,9.020807176616286,Chevy,Las Vegas,61181.93588308143
1978,31533,5.550907216871975,Toyota,Scottsdale,53601.23608435987
2021,43409,1.694299366774549,Toyota,Scottsdale,54630.59683387275
1961,67568,3.755763284338731,Ford,Scottsdale,32522.016421693657
2012,67393,6.900664709028857,Porsche,Scottsdale,73764.02354514427
2003,96358,3.1533297647631753,Toyota,Las Vegas,47630.848823815875
1985,38505,3.5247503966986082,Chevy,Palm Beach,46273.25198349304
1991,43627,8.38422114724768,Porsche,Palm Beach,73058.4057362384
1965,77327,6.258877585864381,Chevy,Palm Beach,46061.68792932191
1991,131664,5.5767468859621525,Toyota,Las Vegas,50217.33442981076
2014,139983,3.866067701252239,Porsche,Las Vegas,52332.03850626119
1963,93444,7.5783523233973,Toyota,Las Vegas,50047.3616169865
2014,47253,3.5894659104102637,Ford,Palm Beach,60222.02955205132
1970,108142,7.633571658797577,Porsche,Las Vegas,52353.658293987886
2015,54210,1.630913322406978,Chevy,Las Vegas,50233.56661203489
2018,145151,8.780872074238752,Ford,Scottsdale,78389.26037119376
1976,28428,5.496098170383395,Ferrari,Scottsdale,152637.69085191697
2022,113011,4.94657215029073,Chevy,Palm Beach,64431.76075145365
1997,12967,6.499210703877321,Toyota,Scottsdale,69699.35351938661
1983,59334,6.617728656066434,Chevy,Scottsdale,58655.243280332164
1964,25951,2.18831659200996,Ferrari,Scottsdale,130346.48296004979
2011,31379,7.80610230834592,Chevy,Las Vegas,81392.6115417296
1993,73502,3.483354681550566,Ford,Scottsdale,46566.57340775283
1965,15549,9.144656921529226,Chevy,Scottsdale,66668.38460764612
1981,76321,8.360655970733493,Porsche,Scottsdale,64671.17985366747
1970,89180,4.116394373812737,Ferrari,Las Vegas,136663.97186906368
2022,5551,8.26965363880643,Chevy,Palm Beach,91793.16819403214
2007,87278,4.207514493699138,Ferrari,Las Vegas,155809.7724684957
1975,63861,1.9085291347243656,Ford,Las Vegas,30656.545673621826
1992,38970,9.656994148531371,Porsche,Scottsdale,80387.97074265685
1968,96666,6.873418136938961,Toyota,Palm Beach,48700.49068469481
2019,123849,5.104895739963325,Chevy,Scottsdale,62639.57869981662
2018,123865,4.579960163779357,Ford,Scottsdale,59513.30081889678
1965,124981,3.922348008324376,Ferrari,Palm Beach,129613.64004162188
1975,128489,9.833028358862164,Ferrari,Palm Beach,163816.2417943108
1988,25472,2.2127253861781666,Ford,Las Vegas,42516.426930890826
1962,3742,3.8332455302851147,Chevy,Palm Beach,39792.02765142557
1979,34164,5.369478762543972,Toyota,Las Vegas,52930.99381271986
2019,14222,5.301995905488803,Chevy,Las Vegas,74587.77952744401
2018,68531,5.242298359670591,Porsche,Scottsdale,68358.39179835297
1995,55845,2.5820543424734366,Chevy,Scottsdale,44825.77171236718
1978,50181,2.304392743985505,Porsche,Scottsdale,35503.863719927525
1985,139883,3.2929082769575806,Ferrari,Palm Beach,134976.2413847879
1962,149965,9.230735384218505,Porsche,Palm Beach,52157.17692109253
2022,139371,2.017476710510591,Toyota,Las Vegas,47150.28355255296
1978,76353,7.816825930359923,Ford,Las Vegas,60448.82965179961
1979,36291,7.8179355382003415,Porsche,Las Vegas,64960.57769100171
1991,10311,8.287933635075362,Chevy,Palm Beach,75908.5681753768
1966,111186,8.9795394009042,Porsche,Las Vegas,56779.097004521
2011,102071,3.3673255978503724,Ferrari,Las Vegas,152129.52798925186
2000,93883,3.0210352234200673,Porsche,Palm Beach,45716.876117100335
1992,125781,5.189550998747317,Toyota,Scottsdale,49369.654993736585
1999,87993,3.385802518768325,Porsche,Palm Beach,47629.71259384162
2023,78060,7.608789900847968,Toyota,Las Vegas,81737.94950423983
1998,84488,6.723456190672903,Chevy,Scottsdale,64168.48095336451
1977,22701,8.874889192473862,Ferrari,Palm Beach,170604.34596236932
1999,149192,1.744644731383644,Ford,Scottsdale,33304.023656918216
1960,139327,9.235750000222673,Chevy,Scottsdale,52246.05000111337
1970,19810,3.640137640030806,Chevy,Las Vegas,41219.68820015403
1987,108814,5.4162491133428565,Ford,Palm Beach,49699.84556671428
2016,128827,4.947502923456794,Porsche,Las Vegas,59854.81461728398
1984,149773,7.842804859939815,Porsche,Palm Beach,56236.72429969907
2009,63327,4.782999784886583,Porsche,Palm Beach,62082.29892443291
1982,136139,9.491978310844685,Ferrari,Palm Beach,164845.9915542234
1990,84389,9.122804943747179,Chevy,Scottsdale,72175.1247187359
1989,5822,8.84945036772556,Toyota,Scottsdale,78165.0518386278
2001,81150,1.641324993834051,Ford,Las Vegas,40591.624969170254
1994,83696,8.688322553985454,Chevy,Palm Beach,72072.01276992727
1966,66832,8.034719008988894,Porsche,Palm Beach,56490.39504494447
2019,143469,1.9316165230551792,Ford,Scottsdale,44811.182615275895
1975,68423,1.9667289289259968,Toyota,Palm Beach,30491.344644629982
1985,23916,1.9104743036578706,Chevy,Las Vegas,39660.77151828936
2007,40795,1.101993338840388,Chevy,Palm Beach,44930.46669420194
2016,55941,5.937708746751252,Ferrari,Palm Beach,172094.44373375626
2011,128598,9.76054862292439,Chevy,Scottsdale,81442.94311462194
2019,107196,4.948162326098142,Chevy,Palm Beach,63521.21163049072
2008,92864,5.866817516986208,Toyota,Las Vegas,64047.68758493104
1961,85844,9.7117281709296,Toyota,Las Vegas,60474.240854648
1960,28582,3.296640058968076,Ford,Las Vegas,33625.000294840385
2007,9271,8.726232273384365,Porsche,Las Vegas,86204.06136692181
2021,100855,5.9175142049056255,Toyota,Scottsdale,70002.07102452812
1971,108225,6.125288631967097,Ford,Palm Beach,45303.943159835486
1964,130822,4.0885647148655515,Chevy,Scottsdale,29360.623574327758
1996,106182,6.054259248702173,Ford,Las Vegas,57653.09624351087
1991,3796,1.6582825853045553,Ford,Palm Beach,43411.812926522776
2018,126410,7.88179215352701,Ford,Scottsdale,75767.96076763506
2014,19249,3.562189853898445,Ford,Palm Beach,62886.04926949222
1968,130164,8.988474965445594,Toyota,Las Vegas,55925.97482722797
2000,53621,4.310656251467126,Porsche,Las Vegas,56191.18125733564
1994,45840,2.2854169943819436,Ford,Palm Beach,43843.08497190972
1978,106711,7.262934169316365,Ferrari,Palm Beach,154643.57084658183
2007,136128,2.481203302421526,Chevy,Las Vegas,42293.216512107625
1975,66741,7.783124639886914,Chevy,Scottsdale,59741.523199434574
1962,63911,9.71301012765505,Chevy,Las Vegas,63173.95063827525
1979,63332,8.015975819157356,Chevy,Palm Beach,63246.67909578678
1983,15517,1.2020432358819222,Chevy,Scottsdale,35958.516179409606
2013,112592,6.398972092474972,Ford,Las Vegas,67235.66046237486
2015,30199,7.258696038727519,Porsche,Palm Beach,80773.5801936376
1992,143774,8.429124932166566,Ferrari,Palm Beach,163768.22466083284
1983,118574,1.5040207804510013,Toyota,Palm Beach,27162.703902255005
2011,9356,5.320970451570577,Ferrari,Scottsdale,171169.25225785287
1970,34781,5.818337853745549,Toyota,Scottsdale,50613.589268727745
2008,91428,2.522123763797602,Toyota,Scottsdale,47467.81881898801
1967,43461,3.9020482873958464,Ferrari,Scottsdale,138664.14143697923
1995,34640,4.961995536305487,Ford,Palm Beach,58845.97768152744
1997,84800,8.498887191620213,Chevy,Palm Beach,72514.43595810106
